run_id,k_si,n_si,pte,pte_error
1,0.5,0.5,0.00365,0.000191049731745428
2,0.5,0.5185185185185185,0.00358,0.00018920887928424503
3,0.5,0.537037037037037,0.00357,0.00018894443627691184
4,0.5,0.5555555555555556,0.00356,0.00018867962264113207
5,0.5,0.5740740740740741,0.0035,0.00018708286933869707
6,0.5,0.5925925925925926,0.00346,0.00018601075237738274
7,0.5,0.6111111111111112,0.00342,0.00018493242008906928
8,0.5,0.6296296296296297,0.00339,0.00018411952639521968
9,0.5,0.6481481481481481,0.00338,0.00018384776310850234
10,0.5,0.6666666666666666,0.00331,0.00018193405398660254
11,0.5,0.6851851851851851,0.00327,0.00018083141320025125
12,0.5,0.7037037037037037,0.0032,0.00017888543819998318
13,0.5,0.7222222222222222,0.00316,0.00017776388834631177
14,0.5,0.7407407407407407,0.00314,0.00017720045146669348
15,0.5,0.7592592592592593,0.00309,0.00017578395831246947
16,0.5,0.7777777777777778,0.00304,0.00017435595774162695
17,0.5,0.7962962962962963,0.00301,0.00017349351572897473
18,0.5,0.8148148148148148,0.00299,0.00017291616465790584
19,0.5,0.8333333333333333,0.00295,0.00017175564037317666
20,0.5,0.8518518518518519,0.00288,0.0001697056274847714
21,0.5,0.8703703703703703,0.00284,0.00016852299546352717
22,0.5,0.8888888888888888,0.00279,0.00016703293088490067
23,0.5,0.9074074074074074,0.00272,0.0001649242250247064
24,0.5,0.9259259259259259,0.00269,0.00016401219466856726
25,0.5,0.9444444444444444,0.00267,0.0001634013463836819
26,0.5,0.9629629629629629,0.00264,0.0001624807680927192
27,0.5,0.9814814814814814,0.00257,0.000160312195418814
28,0.5,1.0,0.00251,0.0001584297951775486
29,0.5,1.0185185185185186,0.00249,0.000157797338380595
30,0.5,1.037037037037037,0.00248,0.00015748015748023623
31,0.5,1.0555555555555556,0.00241,0.00015524174696260025
32,0.5,1.074074074074074,0.00232,0.00015231546211727818
33,0.5,1.0925925925925926,0.00228,0.000150996688705415
34,0.5,1.1111111111111112,0.00224,0.00014966629547095766
35,0.5,1.1296296296296295,0.00219,0.00014798648586948743
36,0.5,1.1481481481481481,0.00214,0.00014628738838327792
37,0.5,1.1666666666666665,0.0021,0.00014491376746189437
38,0.5,1.1851851851851851,0.00209,0.00014456832294800962
39,0.5,1.2037037037037037,0.00208,0.00014422205101855958
40,0.5,1.2222222222222223,0.00205,0.00014317821063276353
41,0.5,1.2407407407407407,0.00204,0.00014282856857085702
42,0.5,1.259259259259259,0.00198,0.0001407124727947029
43,0.5,1.2777777777777777,0.00195,0.0001396424004376894
44,0.5,1.2962962962962963,0.00194,0.0001392838827718412
45,0.5,1.3148148148148149,0.0019,0.00013784048752090222
46,0.5,1.3333333333333333,0.00189,0.0001374772708486752
47,0.5,1.3518518518518519,0.00188,0.00013711309200802087
48,0.5,1.3703703703703702,0.00183,0.00013527749258468682
49,0.5,1.3888888888888888,0.00182,0.00013490737563232042
50,0.5,1.4074074074074074,0.00181,0.0001345362404707371
51,0.5,1.4259259259259258,0.0018,0.00013416407864998739
52,0.5,1.4444444444444444,0.00178,0.00013341664064126334
53,0.5,1.4629629629629628,0.00176,0.00013266499161421598
54,0.5,1.4814814814814814,0.00175,0.00013228756555322952
55,0.5,1.5,0.00172,0.00013114877048604
56,0.5185185185185185,0.5,0.00364,0.00019078784028338914
57,0.5185185185185185,0.5185185185185185,0.00358,0.00018920887928424503
58,0.5185185185185185,0.537037037037037,0.00356,0.00018867962264113207
59,0.5185185185185185,0.5555555555555556,0.00352,0.0001876166303929372
60,0.5185185185185185,0.5740740740740741,0.00349,0.00018681541692269405
61,0.5185185185185185,0.5925925925925926,0.00345,0.0001857417562100671
62,0.5185185185185185,0.6111111111111112,0.00342,0.00018493242008906928
63,0.5185185185185185,0.6296296296296297,0.00339,0.00018411952639521968
64,0.5185185185185185,0.6481481481481481,0.00337,0.0001835755975068582
65,0.5185185185185185,0.6666666666666666,0.00328,0.00018110770276274834
66,0.5185185185185185,0.6851851851851851,0.00327,0.00018083141320025125
67,0.5185185185185185,0.7037037037037037,0.00317,0.00017804493814764857
68,0.5185185185185185,0.7222222222222222,0.00316,0.00017776388834631177
69,0.5185185185185185,0.7407407407407407,0.00312,0.00017663521732655694
70,0.5185185185185185,0.7592592592592593,0.00306,0.000174928556845359
71,0.5185185185185185,0.7777777777777778,0.00303,0.0001740689518552921
72,0.5185185185185185,0.7962962962962963,0.003,0.00017320508075688776
73,0.5185185185185185,0.8148148148148148,0.00298,0.0001726267650163207
74,0.5185185185185185,0.8333333333333333,0.00293,0.0001711724276862369
75,0.5185185185185185,0.8518518518518519,0.00288,0.0001697056274847714
76,0.5185185185185185,0.8703703703703703,0.00283,0.0001682260384126072
77,0.5185185185185185,0.8888888888888888,0.00278,0.00016673332000533066
78,0.5185185185185185,0.9074074074074074,0.00271,0.0001646207763315433
79,0.5185185185185185,0.9259259259259259,0.00269,0.00016401219466856726
80,0.5185185185185185,0.9444444444444444,0.00266,0.0001630950643030009
81,0.5185185185185185,0.9629629629629629,0.0026,0.00016124515496597098
82,0.5185185185185185,0.9814814814814814,0.00257,0.000160312195418814
83,0.5185185185185185,1.0,0.00251,0.0001584297951775486
84,0.5185185185185185,1.0185185185185186,0.00248,0.00015748015748023623
85,0.5185185185185185,1.037037037037037,0.00247,0.0001571623364550171
86,0.5185185185185185,1.0555555555555556,0.00241,0.00015524174696260025
87,0.5185185185185185,1.074074074074074,0.00233,0.00015264337522473748
88,0.5185185185185185,1.0925925925925926,0.00228,0.000150996688705415
