n_xe,n_si,pte,pte_error
1.54,0.6,0.00305,0.0001746424919657298
1.54,0.6074074074074074,0.00304,0.00017435595774162695
1.54,0.6148148148148148,0.00301,0.00017349351572897473
1.54,0.6222222222222222,0.00299,0.00017291616465790584
1.54,0.6296296296296297,0.00298,0.0001726267650163207
1.54,0.6370370370370371,0.00298,0.0001726267650163207
1.54,0.6444444444444444,0.00297,0.00017233687939614085
1.54,0.6518518518518518,0.00296,0.00017204650534085252
1.54,0.6592592592592592,0.00294,0.00017146428199482248
1.54,0.6666666666666666,0.00294,0.00017146428199482248
1.54,0.674074074074074,0.00294,0.00017146428199482248
1.54,0.6814814814814815,0.00292,0.00017088007490635062
1.54,0.6888888888888889,0.00292,0.00017088007490635062
1.54,0.6962962962962963,0.00292,0.00017088007490635062
1.54,0.7037037037037037,0.00292,0.00017088007490635062
1.54,0.7111111111111111,0.00291,0.00017058722109231978
1.54,0.7185185185185186,0.00291,0.00017058722109231978
1.54,0.7259259259259259,0.0029,0.00017029386365926402
1.54,0.7333333333333333,0.0029,0.00017029386365926402
1.54,0.7407407407407407,0.00289,0.00017
1.54,0.7481481481481481,0.00287,0.00016941074346097417
1.54,0.7555555555555555,0.00286,0.00016911534525287762
1.54,0.762962962962963,0.00282,0.00016792855623746665
1.54,0.7703703703703704,0.00281,0.0001676305461424021
1.54,0.7777777777777778,0.00281,0.0001676305461424021
1.54,0.7851851851851852,0.00278,0.00016673332000533066
1.54,0.7925925925925925,0.00278,0.00016673332000533066
1.54,0.8,0.00278,0.00016673332000533066
1.54,0.8074074074074074,0.00275,0.00016583123951777
1.54,0.8148148148148148,0.00272,0.0001649242250247064
1.54,0.8222222222222222,0.0027,0.00016431676725154983
1.54,0.8296296296296296,0.00269,0.00016401219466856726
1.54,0.837037037037037,0.00269,0.00016401219466856726
1.54,0.8444444444444444,0.00268,0.000163707055437449
1.54,0.8518518518518519,0.00267,0.0001634013463836819
1.54,0.8592592592592592,0.00266,0.0001630950643030009
1.54,0.8666666666666667,0.00265,0.00016278820596099706
1.54,0.874074074074074,0.00265,0.00016278820596099706
1.54,0.8814814814814815,0.00265,0.00016278820596099706
1.54,0.8888888888888888,0.00265,0.00016278820596099706
1.54,0.8962962962962963,0.00265,0.00016278820596099706
1.54,0.9037037037037037,0.00264,0.0001624807680927192
1.54,0.9111111111111111,0.00264,0.0001624807680927192
1.54,0.9185185185185185,0.00263,0.00016217274740226855
1.54,0.9259259259259259,0.00263,0.00016217274740226855
1.54,0.9333333333333333,0.00262,0.00016186414056238647
1.54,0.9407407407407407,0.00261,0.00016155494421403512
1.54,0.9481481481481482,0.00261,0.00016155494421403512
1.54,0.9555555555555555,0.00261,0.00016155494421403512
1.54,0.962962962962963,0.00261,0.00016155494421403512
1.54,0.9703703703703703,0.0026,0.00016124515496597098
1.54,0.9777777777777777,0.0026,0.00016124515496597098
1.54,0.9851851851851852,0.0026,0.00016124515496597098
1.54,0.9925925925925926,0.0026,0.00016124515496597098
1.54,1.0,0.0026,0.00016124515496597098
1.5457407407407409,0.6,0.00306,0.000174928556845359
1.5457407407407409,0.6074074074074074,0.00304,0.00017435595774162695
1.5457407407407409,0.6148148148148148,0.00301,0.00017349351572897473
1.5457407407407409,0.6222222222222222,0.00299,0.00017291616465790584
1.5457407407407409,0.6296296296296297,0.00298,0.0001726267650163207
1.5457407407407409,0.6370370370370371,0.00298,0.0001726267650163207
1.5457407407407409,0.6444444444444444,0.00297,0.00017233687939614085
1.5457407407407409,0.6518518518518518,0.00296,0.00017204650534085252
1.5457407407407409,0.6592592592592592,0.00294,0.00017146428199482248
1.5457407407407409,0.6666666666666666,0.00294,0.00017146428199482248
1.5457407407407409,0.674074074074074,0.00293,0.0001711724276862369
1.5457407407407409,0.6814814814814815,0.00292,0.00017088007490635062
1.5457407407407409,0.6888888888888889,0.00292,0.00017088007490635062
1.5457407407407409,0.6962962962962963,0.00292,0.00017088007490635062
1.5457407407407409,0.7037037037037037,0.00292,0.00017088007490635062
1.5457407407407409,0.7111111111111111,0.00291,0.00017058722109231978
1.5457407407407409,0.7185185185185186,0.00291,0.00017058722109231978
1.5457407407407409,0.7259259259259259,0.0029,0.00017029386365926402
1.5457407407407409,0.7333333333333333,0.0029,0.00017029386365926402
1.5457407407407409,0.7407407407407407,0.00289,0.00017
1.5457407407407409,0.7481481481481481,0.00287,0.00016941074346097417
1.5457407407407409,0.7555555555555555,0.00286,0.00016911534525287762
1.5457407407407409,0.762962962962963,0.00282,0.00016792855623746665
1.5457407407407409,0.7703703703703704,0.00281,0.0001676305461424021
1.5457407407407409,0.7777777777777778,0.00281,0.0001676305461424021
1.5457407407407409,0.7851851851851852,0.00278,0.00016673332000533066
1.5457407407407409,0.7925925925925925,0.00278,0.00016673332000533066
1.5457407407407409,0.8,0.00277,0.00016643316977093238
1.5457407407407409,0.8074074074074074,0.00275,0.00016583123951777
1.5457407407407409,0.8148148148148148,0.00272,0.0001649242250247064
1.5457407407407409,0.8222222222222222,0.0027,0.00016431676725154983
1.5457407407407409,0.8296296296296296,0.00269,0.00016401219466856726
1.5457407407407409,0.837037037037037,0.00269,0.00016401219466856726
1.5457407407407409,0.8444444444444444,0.00268,0.000163707055437449
1.5457407407407409,0.8518518518518519,0.00267,0.0001634013463836819
1.5457407407407409,0.8592592592592592,0.00266,0.0001630950643030009
1.5457407407407409,0.8666666666666667,0.00265,0.00016278820596099706
1.5457407407407409,0.874074074074074,0.00265,0.00016278820596099706
1.5457407407407409,0.8814814814814815,0.00265,0.00016278820596099706
1.5457407407407409,0.8888888888888888,0.00265,0.00016278820596099706
1.5457407407407409,0.8962962962962963,0.00265,0.00016278820596099706
1.5457407407407409,0.9037037037037037,0.00264,0.0001624807680927192
1.5457407407407409,0.9111111111111111,0.00264,0.0001624807680927192
1.5457407407407409,0.9185185185185185,0.00263,0.00016217274740226855
1.5457407407407409,0.9259259259259259,0.00263,0.00016217274740226855
1.5457407407407409,0.9333333333333333,0.00262,0.00016186414056238647
1.5457407407407409,0.9407407407407407,0.00261,0.00016155494421403512
1.5457407407407409,0.9481481481481482,0.00261,0.00016155494421403512
1.5457407407407409,0.9555555555555555,0.00261,0.00016155494421403512
1.5457407407407409,0.962962962962963,0.00261,0.00016155494421403512
1.5457407407407409,0.9703703703703703,0.0026,0.00016124515496597098
1.5457407407407409,0.9777777777777777,0.0026,0.00016124515496597098
1.5457407407407409,0.9851851851851852,0.0026,0.00016124515496597098
1.5457407407407409,0.9925925925925926,0.0026,0.00016124515496597098
1.5457407407407409,1.0,0.00259,0.00016093476939431082
1.5514814814814815,0.6,0.00304,0.00017435595774162695
1.5514814814814815,0.6074074074074074,0.00302,0.00017378147196982766
1.5514814814814815,0.6148148148148148,0.00299,0.00017291616465790584
1.5514814814814815,0.6222222222222222,0.00297,0.00017233687939614085
1.5514814814814815,0.6296296296296297,0.00296,0.00017204650534085252
1.5514814814814815,0.6370370370370371,0.00296,0.00017204650534085252
1.5514814814814815,0.6444444444444444,0.00295,0.00017175564037317666
1.5514814814814815,0.6518518518518518,0.00294,0.00017146428199482248
1.5514814814814815,0.6592592592592592,0.00292,0.00017088007490635062
1.5514814814814815,0.6666666666666666,0.00292,0.00017088007490635062
1.5514814814814815,0.674074074074074,0.00291,0.00017058722109231978
