run_id,k_si,n_si,pte_8,pte_8_error,pte_4,pte_4_error
1,0.5,0.5,0.00365,0.000191049731745428,0.00268,0.000163707055437449
2,0.5,0.5185185185185185,0.00358,0.00018920887928424503,0.00264,0.0001624807680927192
3,0.5,0.537037037037037,0.00357,0.00018894443627691184,0.0026,0.00016124515496597098
4,0.5,0.5555555555555556,0.00356,0.00018867962264113207,0.00255,0.00015968719422671313
5,0.5,0.5740740740740741,0.0035,0.00018708286933869707,0.00249,0.000157797338380595
6,0.5,0.5925925925925926,0.00346,0.00018601075237738274,0.00244,0.0001562049935181331
7,0.5,0.6111111111111112,0.00342,0.00018493242008906928,0.00244,0.0001562049935181331
8,0.5,0.6296296296296297,0.00339,0.00018411952639521968,0.00241,0.00015524174696260025
9,0.5,0.6481481481481481,0.00338,0.00018384776310850234,0.00239,0.00015459624833740306
10,0.5,0.6666666666666666,0.00331,0.00018193405398660254,0.00233,0.00015264337522473748
11,0.5,0.6851851851851851,0.00327,0.00018083141320025125,0.00228,0.000150996688705415
12,0.5,0.7037037037037037,0.0032,0.00017888543819998318,0.00224,0.00014966629547095766
13,0.5,0.7222222222222222,0.00316,0.00017776388834631177,0.00221,0.00014866068747318507
14,0.5,0.7407407407407407,0.00314,0.00017720045146669348,0.0022,0.00014832396974191327
15,0.5,0.7592592592592593,0.00309,0.00017578395831246947,0.00213,0.00014594519519326425
16,0.5,0.7777777777777778,0.00304,0.00017435595774162695,0.0021,0.00014491376746189437
17,0.5,0.7962962962962963,0.00301,0.00017349351572897473,0.00209,0.00014456832294800962
18,0.5,0.8148148148148148,0.00299,0.00017291616465790584,0.00209,0.00014456832294800962
19,0.5,0.8333333333333333,0.00295,0.00017175564037317666,0.00208,0.00014422205101855958
20,0.5,0.8518518518518519,0.00288,0.0001697056274847714,0.00205,0.00014317821063276353
21,0.5,0.8703703703703703,0.00284,0.00016852299546352717,0.00202,0.00014212670403551894
22,0.5,0.8888888888888888,0.00279,0.00016703293088490067,0.00197,0.000140356688476182
23,0.5,0.9074074074074074,0.00272,0.0001649242250247064,0.00194,0.0001392838827718412
24,0.5,0.9259259259259259,0.00269,0.00016401219466856726,0.00192,0.0001385640646055102
25,0.5,0.9444444444444444,0.00267,0.0001634013463836819,0.00187,0.00013674794331177344
26,0.5,0.9629629629629629,0.00264,0.0001624807680927192,0.00186,0.00013638181696985855
27,0.5,0.9814814814814814,0.00257,0.000160312195418814,0.00185,0.00013601470508735444
28,0.5,1.0,0.00251,0.0001584297951775486,0.00181,0.0001345362404707371
29,0.5,1.0185185185185186,0.00249,0.000157797338380595,0.00178,0.00013341664064126334
30,0.5,1.037037037037037,0.00248,0.00015748015748023623,0.00177,0.0001330413469565007
31,0.5,1.0555555555555556,0.00241,0.00015524174696260025,0.00173,0.00013152946437965904
32,0.5,1.074074074074074,0.00232,0.00015231546211727818,0.00171,0.00013076696830622021
33,0.5,1.0925925925925926,0.00228,0.000150996688705415,0.0017,0.00013038404810405298
34,0.5,1.1111111111111112,0.00224,0.00014966629547095766,0.00168,0.0001296148139681572
35,0.5,1.1296296296296295,0.00219,0.00014798648586948743,0.00166,0.00012884098726725126
36,0.5,1.1481481481481481,0.00214,0.00014628738838327792,0.00166,0.00012884098726725126
37,0.5,1.1666666666666665,0.0021,0.00014491376746189437,0.00163,0.00012767145334803705
38,0.5,1.1851851851851851,0.00209,0.00014456832294800962,0.00162,0.00012727922061357857
39,0.5,1.2037037037037037,0.00208,0.00014422205101855958,0.00161,0.0001268857754044952
40,0.5,1.2222222222222223,0.00205,0.00014317821063276353,0.0016,0.00012649110640673518
41,0.5,1.2407407407407407,0.00204,0.00014282856857085702,0.0016,0.00012649110640673518
42,0.5,1.259259259259259,0.00198,0.0001407124727947029,0.00155,0.00012449899597988734
43,0.5,1.2777777777777777,0.00195,0.0001396424004376894,0.00154,0.00012409673645990857
44,0.5,1.2962962962962963,0.00194,0.0001392838827718412,0.00153,0.0001236931687685298
45,0.5,1.3148148148148149,0.0019,0.00013784048752090222,0.00152,0.0001232882800593795
46,0.5,1.3333333333333333,0.00189,0.0001374772708486752,0.00151,0.00012288205727444508
47,0.5,1.3518518518518519,0.00188,0.00013711309200802087,0.00149,0.00012206555615733703
48,0.5,1.3703703703703702,0.00183,0.00013527749258468682,0.00147,0.0001212435565298214
49,0.5,1.3888888888888888,0.00182,0.00013490737563232042,0.00147,0.0001212435565298214
50,0.5,1.4074074074074074,0.00181,0.0001345362404707371,0.00146,0.00012083045973594572
51,0.5,1.4259259259259258,0.0018,0.00013416407864998739,0.00146,0.00012083045973594572
52,0.5,1.4444444444444444,0.00178,0.00013341664064126334,0.00146,0.00012083045973594572
53,0.5,1.4629629629629628,0.00176,0.00013266499161421598,0.00146,0.00012083045973594572
54,0.5,1.4814814814814814,0.00175,0.00013228756555322952,0.00146,0.00012083045973594572
55,0.5,1.5,0.00172,0.00013114877048604,0.00146,0.00012083045973594572
56,0.5202020202020202,0.5,0.00364,0.00019078784028338914,0.00267,0.0001634013463836819
57,0.5202020202020202,0.5185185185185185,0.00357,0.00018894443627691184,0.00261,0.00016155494421403512
58,0.5202020202020202,0.537037037037037,0.00356,0.00018867962264113207,0.00259,0.00016093476939431082
59,0.5202020202020202,0.5555555555555556,0.00352,0.0001876166303929372,0.0025,0.00015811388300841897
60,0.5202020202020202,0.5740740740740741,0.00349,0.00018681541692269405,0.00245,0.00015652475842498528
61,0.5202020202020202,0.5925925925925926,0.00345,0.0001857417562100671,0.00244,0.0001562049935181331
