1,6.5e-05,8.06225774829855e-06,6.5e-05,8.06225774829855e-06,6.5e-05,8.06225774829855e-06,6.6e-05,8.124038404635961e-06,inf
6,0.000444,2.1071307505705478e-05,0.000452,2.12602916254693e-05,0.000421,2.0518284528683193e-05,0.000406,2.0149441679609885e-05,13.922580645161293
11,0.000663,2.5748786379167467e-05,0.00071,2.6645825188948456e-05,0.000559,2.3643180835073777e-05,0.000497,2.2293496809607954e-05,3.2099337748344374
16,0.000883,2.9715315916207252e-05,0.000933,3.054504869860253e-05,0.000707,2.658947160061666e-05,0.000643,2.5357444666211934e-05,2.8464601769911497
21,0.001067,3.266496594212215e-05,0.001156,3.4e-05,0.000862,2.9359836511806395e-05,0.000716,2.6758176320519305e-05,2.1823129251700686
26,0.001246,3.529872518944558e-05,0.001376,3.7094473981982814e-05,0.000963,3.10322412983658e-05,0.000797,2.8231188426986207e-05,1.7208232445520577
31,0.0014,3.7416573867739416e-05,0.001574,3.967366884975475e-05,0.001048,3.2372828112477294e-05,0.000888,2.979932885150268e-05,1.5528517110266158
36,0.001499,3.871692136521188e-05,0.001684,4.1036569057366385e-05,0.001099,3.3151168908501553e-05,0.000935,3.0577769702841315e-05,1.4777777777777779
41,0.001618,4.022437072223753e-05,0.001816,4.261455150532503e-05,0.001193,3.4539832078341086e-05,0.000994,3.1527765540868895e-05,1.4356340288924563
46,0.001706,4.1303752856126765e-05,0.001931,4.394314508543966e-05,0.001239,3.519943181359608e-05,0.001031,3.210918871600464e-05,1.3382947976878614
51,0.001783,4.222558466143482e-05,0.002035,4.5110974274559846e-05,0.001292,3.5944401511222856e-05,0.001053,3.2449961479175906e-05,1.2372812920592193
56,0.001858,4.310452412450461e-05,0.002106,4.589117562233506e-05,0.001304,3.611094017053558e-05,0.00107,3.2710854467592246e-05,1.1758104738154616
61,0.001955,4.421538193886829e-05,0.00221,4.7010637094172637e-05,0.001356,3.682390527904394e-05,0.001104,3.32264954516723e-05,1.1269320843091333
66,0.002018,4.4922154890432404e-05,0.002267,4.7613023428469654e-05,0.001399,3.740320841853008e-05,0.001119,3.345145736735546e-05,1.0955069124423966
