empty,x,y,z,angle,PTE,lxeri,seed
1,93.739,48.906666,92.85596,5.5371814,0.004475,1.8380639653759596,17913
1,89.43638,48.906666,92.29788,5.4562864,0.004506,1.8108724931533584,6746
1,92.33784,48.906662,92.707054,3.5188634,0.004567,1.7269270666521725,10326
1,94.264885,48.906666,92.31521,33.058784,0.004614,1.9118649692133878,21412
1,91.61858,48.906666,91.27629,1.4427934,0.004573,1.7927554120269993,26037
1,89.46293,48.906666,90.70841,5.5195637,0.004305,1.682617118919558,24778
1,90.753746,48.906666,92.68391,1.7753087,0.004578,1.8621659721409451,4453
1,92.99061,48.906666,90.01218,3.502355,0.004501,1.7468571202895344,7162
1,90.28709,48.906666,91.25875,2.363143,0.004466,1.8505369445050035,21830
1,92.27302,48.906666,93.44612,6.397059,0.004549,1.9022869643134976,6005
1,90.83988,48.906666,91.93825,3.3695292,0.004553,1.9061451764420014,5613
1,91.934685,48.906666,91.88025,2.2703822,0.004404,1.7583689559418714,13088
1,88.63258,48.906666,94.017746,7.815875,0.004457,1.6310897728470635,10498
1,92.92128,48.906666,93.312904,3.8133621,0.004377,1.6467413418430141,17456
1,92.104996,48.906666,93.003624,3.1418018,0.00461,1.790803838951851,14727
1,91.00307,48.906666,93.552414,5.206502,0.004546,1.7965640842038915,32395
1,89.891365,48.906666,93.1074,6.4296813,0.00455,1.694391642415464,1716
1,90.96813,48.906666,91.47263,1.2702619,0.004459,1.805312345507949,9208
1,92.26594,48.906666,91.4713,32.342926,0.004554,1.8727439322415997,6369
1,91.66152,48.906666,90.10705,3.585285,0.004541,1.8156061871596434,28782
1,92.14137,48.906666,92.79031,3.272195,0.00439,1.7185210905061103,32724
1,91.86982,48.906666,91.74251,2.6393044,0.004372,1.6525665953792932,16196
1,90.26514,48.906666,94.2048,6.9107757,0.004582,1.75131360334621,8302
1,92.291725,48.906666,91.44824,18.496264,0.00433,1.7400226107263301,5850
1,90.21524,48.906666,89.22927,4.0990667,0.004462,1.8323586189717682,27473
1,89.44627,48.906666,91.236694,5.876065,0.004538,1.8825807534491676,20139
1,90.66713,48.906666,93.74493,6.980671,0.004432,1.674749839329452,27293
1,88.63814,48.90667,91.51451,6.1652927,0.004449,1.652447800143415,6041
