empty,x,y,z,angle,PTE,lxeri,seed
1,89.542244,48.906666,92.24353,4.214914,0.004405,1.7239991131358992,6146
1,92.50697,48.906666,93.79355,6.0539813,0.004492,1.8856585845738323,28255
1,88.97936,48.906666,90.37899,7.554839,0.004382,1.6349488161881303,31312
1,92.893265,48.906666,91.88232,3.9398968,0.004606,1.925042616353349,22555
1,90.78179,48.906666,88.35554,33.24784,0.004441,1.761892858435789,12629
1,92.55011,48.906666,93.98036,61.193497,0.004492,1.8716041891650017,30375
1,92.508766,48.906666,88.425285,7.577119,0.004537,1.8998994992708893,27679
1,93.27615,48.906666,91.392075,6.53357,0.004493,1.6803624266252484,8810
1,91.731995,48.906666,92.129135,2.4153266,0.004392,1.690259109951454,245
1,93.9979,48.906666,88.75757,8.137741,0.004409,1.729850440524816,30017
1,92.0035,48.90667,88.57375,7.0261016,0.004363,1.6564770811218728,23656
1,88.89106,48.906666,89.38214,8.446967,0.004502,1.7268403459924948,31170
1,93.68244,48.906666,93.58619,7.76473,0.004466,1.8829922400749863,22682
1,91.622734,48.90667,91.50516,1.312688,0.004475,1.6707532430731515,13333
1,91.32382,48.906666,92.74402,3.6323788,0.004499,1.7196481171046611,4388
1,91.80771,48.906666,89.422874,4.333863,0.004404,1.6967406174484077,12213
1,90.915436,48.906666,89.31863,2.6057174,0.004397,1.631536665430438,15800
1,92.32461,48.906666,90.51805,3.4517894,0.0045,1.8617136201786295,9221
1,91.0525,48.906666,91.13407,1.1655005,0.00444,1.819717281231667,8978
1,94.13695,48.906666,93.69713,9.2115135,0.004525,1.885525838934908,15975
1,89.795006,48.906666,94.073235,7.685208,0.004349,1.7807400798742452,12344
1,89.657524,48.906666,92.57166,6.939072,0.00452,1.671742415877946,19349
1,90.575935,48.906666,88.8243,5.0688677,0.004676,1.9111152181268902,28041
1,89.27749,48.906666,90.35902,5.245458,0.004308,1.8290684053118766,5266
1,89.254036,48.906666,90.95876,6.0204067,0.004524,1.8900351471458587,20666
1,92.166595,48.906666,92.53472,3.2980592,0.004567,1.9249986552147926,7851
1,88.82061,48.906666,88.46996,7.252552,0.004551,1.7530610794140118,14576
1,92.550735,48.90667,93.26664,5.6183805,0.004319,1.6369641397555816,21131
1,92.56225,48.906666,90.01865,54.00262,0.004468,1.851744477158416,24679
1,90.95677,48.906666,90.91961,0.5532007,0.004417,1.6611544674573,26277


