name,outer_mat,inner_mat,model_id,reflect_specular,reflect_diffuse
FBK HD3,liquid xenon,silicon,0,0,0
Cu-Xe,liquid xenon,copper,3,0,0
Al-Xe,liquid xenon,aluminum,3,0,0
Steel-Xe,liquid xenon,steel,3,0,0


