name,refractive_index,absorption_length,scattering_length,density,abs(r_i_error),eta,k,abs(eta_error),abs(k_error)
liquid xenon,1.78,1000000000,350,2.942,0.0,0,0,0,0
copper,0.9733,0.05,1000000,8.96,0,0.9733,1.4735,0,0
silicon,0.682,0.0000058,100,2.329,0,0,0,0,0
steel,1.29,100000000,1000000000,7.75,0,0,0,0,0
silica,1.644,100000000,1000000000,2.202,0,0,0,0,0
aluminum,0.09216,1000000,10000000,2.7,0,0.09216,1.9217,0,0
killing material,1,100000000,1000000000,0,0,0,0,0,0

