name,stl_filepath,inner_mat,outer_mat,surface,color,displacement x,displacement y,displacement z,solid_type

source,/workspace/data_files/stl_files/Sebastian/2024_5_07_Assembly_N4_Reflector/FusionDownloadTest/CopperTest v1_CopperTest v1_Copper Assembly v6_1_sourcepart3 v1_1_Body1.stl,steel,liquid xenon,None,red,0,0,0,none

silica window,/workspace/data_files/stl_files/Sebastian/2024_5_07_Assembly_N4_Reflector/FusionDownloadTest/CopperTest v1_CopperTest v1_Copper Assembly v6_1_SilicaWindow v1_1_Body1.stl,silica,liquid xenon,None,cyan,0,0,0,solid

copper reflector,/workspace/data_files/stl_files/Sebastian/2024_5_07_Assembly_N4_Reflector/FusionDownloadTest/CopperTest v1_CopperTest v1_Copper Assembly v6_1_TeflonReflector v1_1_Body1.stl,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid

sipm,/workspace/data_files/stl_files/Sebastian/2024_5_07_Assembly_N4_Reflector/FusionDownloadTest/CopperTest v1_CopperTest v1_Palladium Top v2_1_SiPM v1_1_Body1.stl,silicon,liquid xenon,FBK HD3,black,0,0,0,pmt

